行業別,上月底現有家數,上月底現有資本額,新設立家數,新設立資本額,歇業家數,歇業資本額,增資家數,增資資本額,減資家數,減資資本額,遷入家數,遷入資本額,遷出家數,遷出資本額,行業變動家數,行業變動資本額,異動調整家數,異動調整資本額,本月底現有家數,本月底現有資本額,year,month
用水供應及污染整治業,4036,1899893,13,7468,14,2276,2,6140,0,0,1,200,4,250,1,8,1,5,4034,1911188,2025,6
營建工程業,101760,44894286,688,148842,326,142322,66,90178,2,7000,36,13172,36,14972,3,-3847,0,128,102125,44978466,2025,6
批發及零售業,515794,85780655,2048,319870,1997,303888,166,196152,9,12891,132,30520,129,26880,-7,-857,3,2473,515844,85985153,2025,6
運輸及倉儲業,25870,6011925,26,6210,25,10128,0,0,0,0,2,1238,2,1238,0,170,-4,-147,25867,6008030,2025,6
住宿及餐飲業,106605,14271796,977,122196,738,99624,40,21699,4,890,10,2453,11,2463,4,980,-3,-1957,106844,14314190,2025,6
出版影音及資通訊業,6911,1853464,53,6258,25,4339,4,3819,0,0,7,1930,7,1930,-1,-100,0,0,6938,1859101,2025,6
金融及保險業,3242,4730622,14,2263,10,680,0,0,0,0,0,0,0,0,-1,1159,4,-90,3249,4733274,2025,6
不動產業,4511,1137454,17,2995,21,3235,0,0,0,0,0,0,0,0,0,0,0,0,4507,1137214,2025,6
專業、科學及技術服務業,21003,4601814,132,19602,96,17615,2,1460,1,5670,14,3667,13,3467,1,-830,0,0,21041,4598961,2025,6
支援服務業,30112,7459817,201,28641,117,63028,10,21521,0,0,14,15308,14,15758,-1,-1050,0,60,30195,7445510,2025,6
公共行政及國防；強制性社會安全,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,6
教育業,2562,370462,50,6252,22,2736,0,0,0,0,3,210,2,110,3,400,0,0,2594,374478,2025,6
醫療保健及社會服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,6
藝術、娛樂及休閒服務業,25536,3369392,142,17369,104,10981,7,8850,1,150,3,430,4,530,-3,-530,0,0,25570,3383849,2025,6
其他服務業,73015,7040641,427,48204,230,23782,21,12085,1,20,11,982,12,1232,1,322,1,357,73213,7077557,2025,6
總計,990183,203899384,5007,772590,4206,710555,372,403895,27,15204,249,102633,251,102334,0,0,-2,-2188,990980,204348221,2025,5
農、林、漁、牧業,11868,3830406,68,10285,41,10035,6,5320,0,0,2,400,3,12400,-2,-170,-1,-20,11891,3823786,2025,5
礦業及土石採取業,1979,1171761,7,1378,5,1049,0,0,0,0,0,0,0,0,2,270,0,0,1983,1172360,2025,5
製造業,55128,15337722,149,24710,148,31930,26,56568,0,0,6,1680,6,1100,1,-5099,0,460,55130,15383011,2025,5
電力及燃氣供應業,1014,544028,7,1570,3,353,1,1500,0,0,0,0,0,0,0,0,1,100,1019,546845,2025,5
用水供應及污染整治業,4034,1893372,14,3919,12,1678,4,4140,0,0,1,200,1,200,-1,-230,1,370,4036,1899893,2025,5
營建工程業,101386,44774597,692,148491,321,101971,64,76844,0,0,49,38616,51,40676,-2,-2354,7,738,101760,44894286,2025,5
批發及零售業,515970,85647958,2012,299585,2174,340957,180,180802,13,13974,128,34099,128,34820,-3,8451,-11,-489,515794,85780655,2025,5
運輸及倉儲業,25866,5999531,29,5060,28,10801,1,4000,0,0,3,17000,1,3000,1,160,0,-25,25870,6011925,2025,5
住宿及餐飲業,106314,14200039,1044,142313,755,96258,36,26427,7,695,20,2593,22,2893,-1,-1351,5,1622,106605,14271796,2025,5
出版影音及資通訊業,6894,1858002,53,6993,38,13303,3,1331,0,0,2,510,2,510,1,150,1,290,6911,1853464,2025,5
金融及保險業,3275,4736659,11,1703,45,2800,0,0,0,0,0,0,0,0,0,0,1,-4940,3242,4730622,2025,5
不動產業,4512,1135245,23,5829,20,3240,1,500,0,0,0,0,1,240,-2,-440,-1,-200,4511,1137454,2025,5
專業、科學及技術服務業,20960,4594610,141,20981,98,18152,5,1720,0,0,17,2910,15,2610,-1,2455,-1,-100,21003,4601814,2025,5
支援服務業,30081,7431133,189,29910,156,25821,24,24270,1,65,9,2410,10,1870,-1,-53,0,-97,30112,7459817,2025,5
公共行政及國防；強制性社會安全,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-20,1,20,0,0,2025,5
教育業,2529,365406,52,7312,24,3286,0,0,0,0,1,200,1,200,5,850,0,180,2562,370462,2025,5
醫療保健及社會服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,5
藝術、娛樂及休閒服務業,25530,3359380,116,14145,109,14219,7,13102,1,45,4,900,4,900,0,-2912,-1,-60,25536,3369392,2025,5
其他服務業,72843,7019535,400,48407,229,34702,14,7371,5,425,7,1115,6,915,4,293,-4,-37,73015,7040641,2025,5
總計,989024,203240815,5322,827302,4168,663847,344,490095,11,5650,245,84152,250,84102,0,0,10,10619,990183,203899384,2025,4
農、林、漁、牧業,11825,3821853,81,12407,55,19394,8,12730,0,0,3,500,2,300,16,2730,0,-120,11868,3830406,2025,4
礦業及土石採取業,1978,1170063,9,1748,8,3050,1,3000,0,0,2,1240,2,1240,0,0,0,0,1979,1171761,2025,4
製造業,55114,15311914,154,33026,144,36368,18,28382,1,500,4,603,4,603,7,1800,-3,-532,55128,15337722,2025,4
電力及燃氣供應業,1007,545787,10,2541,3,4300,0,0,0,0,0,0,0,0,0,0,0,0,1014,544028,2025,4
用水供應及污染整治業,4028,1884397,26,5823,21,4158,4,7110,0,0,2,440,2,440,1,200,0,0,4034,1893372,2025,4
營建工程業,100908,44568214,748,164879,283,84545,58,126896,1,3000,40,20050,40,19250,6,814,7,539,101386,44774597,2025,4
批發及零售業,515990,85426029,2145,321902,2138,302323,168,201606,6,1750,143,40446,146,40896,-24,-3474,0,6418,515970,85647958,2025,4
運輸及倉儲業,25863,5994084,25,4332,20,5395,1,2500,0,0,1,5000,1,5000,1,4100,-3,-90,25866,5999531,2025,4
住宿及餐飲業,106050,14155560,1063,137598,789,113091,29,21531,2,250,16,4210,17,4410,-10,-1309,1,200,106314,14200039,2025,4
出版影音及資通訊業,6868,1850222,47,6830,23,3460,3,4300,0,0,3,550,3,550,2,110,0,0,6894,1858002,2025,4
金融及保險業,3266,4736354,15,2549,13,7594,0,0,0,0,0,0,0,0,1,60,6,5290,3275,4736659,2025,4
不動產業,4496,1130820,38,7858,22,3433,0,0,0,0,1,100,1,100,0,0,0,0,4512,1135245,2025,4
專業、科學及技術服務業,20914,4580479,131,17685,90,14473,11,10451,0,0,7,890,8,1090,5,568,1,100,20960,4594610,2025,4
支援服務業,30021,7358502,201,31970,141,19381,19,60315,0,0,8,7923,7,7903,-2,-329,1,36,30081,7431133,2025,4
公共行政及國防；強制性社會安全,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-3,1,3,0,0,2025,4
教育業,2496,359176,47,9530,13,1640,0,0,0,0,2,400,2,400,0,0,-1,-1660,2529,365406,2025,4
醫療保健及社會服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,4
藝術、娛樂及休閒服務業,25514,3350375,160,19672,140,13308,8,3127,0,0,4,800,5,820,-2,-265,-1,-200,25530,3359380,2025,4
其他服務業,72686,6996986,422,46953,265,27935,16,8147,1,150,9,1000,10,1100,0,-5002,1,635,72843,7019535,2025,4
總計,987709,202530654,5576,884303,4265,675202,378,511822,33,19863,267,84771,267,95689,0,0,4,20018,989024,203240815,2025,3
農、林、漁、牧業,11803,3824646,70,11031,55,17216,2,2760,0,0,4,1160,5,1360,8,833,0,0,11825,3821853,2025,3
礦業及土石採取業,1974,1169933,10,2338,5,1140,1,1980,0,0,1,200,1,200,-1,-3048,0,0,1978,1170063,2025,3
製造業,55101,15279327,157,33922,138,32529,17,30570,1,100,9,4138,10,4188,-2,884,-3,-110,55114,15311914,2025,3
電力及燃氣供應業,999,541937,12,2300,4,850,2,2400,0,0,0,0,0,0,0,0,0,0,1007,545787,2025,3
用水供應及污染整治業,4030,1875281,15,2250,17,2869,4,9735,0,0,3,500,3,500,0,0,0,0,4028,1884397,2025,3
營建工程業,100373,44333552,853,185164,329,99830,73,147643,0,0,42,13352,42,13352,7,1200,4,485,100908,44568214,2025,3
批發及零售業,515825,85153141,2298,357294,2132,315733,198,226031,19,10209,149,46621,148,57399,-4,10625,2,15658,515990,85426029,2025,3
運輸及倉儲業,25858,5987291,35,6638,30,5978,1,5000,0,0,2,400,2,400,2,1200,-2,-67,25863,5994084,2025,3
住宿及餐飲業,105805,14096334,1062,140213,803,102092,37,24973,7,2107,15,2140,16,2340,-9,-2170,-4,609,106050,14155560,2025,3
出版影音及資通訊業,6858,1845884,49,5672,43,6567,0,0,0,0,3,495,3,495,3,225,1,5009,6868,1850222,2025,3
金融及保險業,3246,4731986,27,4860,13,1110,2,368,0,0,2,400,2,400,1,100,5,150,3266,4736354,2025,3
不動產業,4488,1143210,28,4650,19,6400,0,0,1,3400,1,240,1,240,-1,-10000,0,2760,4496,1130820,2025,3
專業、科學及技術服務業,20850,4566867,157,24366,91,12557,7,9101,0,0,13,10841,10,10491,-4,-2665,-1,-4983,20914,4580479,2025,3
支援服務業,29938,7315377,222,33605,138,23242,13,19630,2,160,8,1935,8,1935,-2,12885,1,407,30021,7358502,2025,3
公共行政及國防；強制性社會安全,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-30,1,30,0,0,2025,3
教育業,2457,353290,50,6731,13,1185,1,90,0,0,0,0,0,0,2,250,0,0,2496,359176,2025,3
醫療保健及社會服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,3
藝術、娛樂及休閒服務業,25575,3364906,127,16591,185,18596,3,1037,2,3127,6,940,6,880,-2,-10297,-1,-200,25514,3350375,2025,3
其他服務業,72529,6947693,404,46680,250,27309,17,30504,1,760,9,1409,10,1509,3,8,1,270,72686,6996986,2025,3
總計,986991,202099905,4335,681573,3620,591472,296,366020,14,30840,182,71631,181,67184,0,0,2,1021,987709,202530654,2025,2
農、林、漁、牧業,11777,3827961,63,10513,36,14428,0,0,0,0,2,440,2,440,-1,600,0,0,11803,3824646,2025,2
礦業及土石採取業,1966,1167083,9,1780,2,230,2,1100,0,0,0,0,0,0,1,200,0,0,1974,1169933,2025,2
製造業,55125,15242008,110,20684,133,32981,20,48908,1,80,8,2048,6,1608,-2,358,-1,-10,55101,15279327,2025,2
電力及燃氣供應業,993,537867,8,1470,2,400,1,3000,0,0,0,0,0,0,0,0,0,0,999,541937,2025,2
用水供應及污染整治業,4022,1864406,12,2035,4,650,4,9590,0,0,0,0,0,0,1,100,-1,-200,4030,1875281,2025,2
營建工程業,99947,44161831,685,148771,264,76009,60,97151,0,0,26,8092,25,7992,-1,1167,5,541,100373,44333552,2025,2
批發及零售業,515842,85034732,1803,263793,1819,274476,145,140841,7,9699,95,27093,99,27593,2,-4375,1,2825,515825,85153141,2025,2
運輸及倉儲業,25855,5982661,27,5506,26,4046,0,0,0,0,0,0,0,0,3,2930,-1,240,25858,5987291,2025,2
住宿及餐飲業,105725,14097154,759,100061,683,102478,23,20662,2,20550,18,5923,14,2223,2,135,-2,-2350,105805,14096334,2025,2
出版影音及資通訊業,6841,1844165,44,5735,28,4966,1,800,0,0,3,700,3,700,0,140,1,10,6858,1845884,2025,2
金融及保險業,3240,4731202,11,1845,8,1221,0,0,0,0,1,100,0,0,0,0,2,60,3246,4731986,2025,2
不動產業,4499,1143089,24,4661,30,4140,0,0,0,0,2,400,2,400,-5,-400,0,0,4488,1143210,2025,2
專業、科學及技術服務業,20794,4554709,138,20748,80,15087,8,6717,0,0,9,2600,10,2650,-2,-280,1,110,20850,4566867,2025,2
支援服務業,29911,7279908,161,31117,133,22795,14,26888,0,0,8,21939,8,21939,0,220,-1,40,29938,7315377,2025,2
公共行政及國防；強制性社會安全,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,2
教育業,2443,350967,37,4639,22,2310,0,0,0,0,2,150,2,150,-1,-6,0,0,2457,353290,2025,2
醫療保健及社會服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,2
藝術、娛樂及休閒服務業,25568,3355955,119,18744,109,12307,3,3097,2,261,3,740,4,840,-2,-270,0,49,25575,3364906,2025,2
其他服務業,72443,6924209,325,39472,241,22948,15,7266,2,250,5,1406,6,649,5,-519,-2,-294,72529,6947693,2025,2
總計,986576,201693355,3681,649875,3266,582323,267,342335,19,3699,162,55185,163,53137,0,0,1,-1686,986991,202099905,2025,1
農、林、漁、牧業,11748,3758485,54,69594,29,10446,5,5860,1,4,2,250,2,250,4,4472,0,0,11777,3827961,2025,1
礦業及土石採取業,1960,1160003,7,1480,1,200,2,5800,0,0,0,0,0,0,0,0,0,0,1966,1167083,2025,1
製造業,55129,15207662,119,23773,125,34310,21,43944,1,48,2,400,3,500,3,957,0,130,55125,15242008,2025,1
電力及燃氣供應業,983,528979,10,3288,1,200,2,3800,0,0,0,0,0,0,1,2000,0,0,993,537867,2025,1
用水供應及污染整治業,4024,1862783,10,2493,12,6060,3,5190,0,0,2,400,2,400,0,0,0,0,4022,1864406,2025,1
營建工程業,99656,44036207,557,123590,270,85275,51,88659,1,30,26,10896,27,11196,2,-1650,3,630,99947,44161831,2025,1
批發及零售業,515887,84944062,1612,237362,1639,274598,122,125843,9,1035,89,36248,85,27660,-15,-2557,-7,-2933,515842,85034732,2025,1
運輸及倉儲業,25895,5978836,19,2734,26,2699,2,4950,0,0,0,0,0,0,-1,-200,-32,-960,25855,5982661,2025,1
住宿及餐飲業,105674,14066138,636,96052,588,84856,26,25841,2,930,12,1780,16,8180,4,1000,3,310,105725,14097154,2025,1
出版影音及資通訊業,6842,1843349,26,4029,28,4743,2,1090,0,0,8,1700,7,1260,0,0,0,0,6841,1844165,2025,1
金融及保險業,3202,4726537,15,4495,10,990,0,0,0,0,2,282,2,282,1,200,32,960,3240,4731202,2025,1
不動產業,4506,1140368,24,4001,31,6280,1,5000,0,0,0,0,0,0,0,0,0,0,4499,1143089,2025,1
專業、科學及技術服務業,20782,4549450,94,13697,80,14100,6,6860,0,0,7,1310,7,1490,-2,-1018,0,0,20794,4554709,2025,1
支援服務業,29867,7261144,149,22004,108,17747,9,12595,1,150,7,1199,7,1199,0,1833,3,228,29911,7279908,2025,1
公共行政及國防；強制性社會安全,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-20,2,20,0,0,2025,1
教育業,2428,349489,30,3058,16,1780,0,0,0,0,2,220,1,20,0,0,0,0,2443,350967,2025,1
醫療保健及社會服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,1
藝術、娛樂及休閒服務業,25620,3365849,98,10582,154,17567,5,1820,0,0,1,100,2,300,5,-4530,0,0,25568,3355955,2025,1
其他服務業,72373,6914015,221,27644,148,20473,10,5083,4,1502,2,400,2,400,0,-487,-3,-71,72443,6924209,2025,1
總計,986067,201410422,4990,746693,4434,852454,357,435763,21,44641,212,77739,213,75464,0,0,-46,-4704,986576,201693355,2024,12
農、林、漁、牧業,11679,3746548,87,13812,25,5136,3,1156,0,0,4,1090,3,640,6,1655,0,0,11748,3758485,2024,12
礦業及土石採取業,1964,1158433,5,880,9,1310,1,2000,0,0,0,0,0,0,0,0,0,0,1960,1160003,2024,12
製造業,55206,15196374,129,22161,201,56202,21,45725,1,290,8,1540,7,1340,0,215,-6,-522,55129,15207662,2024,12
電力及燃氣供應業,981,521764,9,3400,7,1385,2,5200,0,0,0,0,0,0,0,0,0,0,983,528979,2024,12
用水供應及污染整治業,4027,1836580,19,3834,20,3046,7,25500,0,0,0,0,0,0,-2,-85,0,0,4024,1862783,2024,12
營建工程業,99386,43923470,661,149772,393,160477,69,114525,1,20,34,24530,35,24630,1,8594,2,443,99656,44036207,2024,12
批發及零售業,515952,84887430,2198,304948,2240,390695,156,167644,12,18433,106,32739,103,30284,-6,-7910,-20,-1377,515887,84944062,2024,12
運輸及倉儲業,25903,5971761,28,6678,26,4223,7,4920,0,0,3,2940,3,2940,0,0,-10,-300,25895,5978836,2024,12
住宿及餐飲業,105622,14082263,892,113872,823,120257,34,17092,3,25110,15,7170,17,7450,-2,-217,-13,-1225,105674,14066138,2024,12
出版影音及資通訊業,6840,1839915,35,4480,29,8146,2,10400,0,0,4,340,4,340,-3,-300,-1,-3000,6842,1843349,2024,12
金融及保險業,3182,4721608,22,5258,13,2809,0,0,0,0,2,250,2,250,0,0,11,2480,3202,4726537,2024,12
不動產業,4527,1140840,17,3278,35,7130,2,4000,0,0,2,400,2,400,-2,-420,-1,-200,4506,1140368,2024,12
專業、科學及技術服務業,20765,4548669,135,20083,118,22699,10,7193,0,0,13,3710,12,3700,-1,-3470,0,-337,20782,4549450,2024,12
支援服務業,29810,7235334,175,28969,126,21925,15,16606,0,0,10,1640,13,1900,8,1820,3,600,29867,7261144,2024,12
公共行政及國防；強制性社會安全,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-5,1,5,0,0,2024,12
教育業,2394,342648,45,5326,14,1795,1,2760,0,0,1,150,1,150,3,550,0,0,2428,349489,2024,12
醫療保健及社會服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,12
藝術、娛樂及休閒服務業,25613,3364491,154,17428,136,17404,8,2638,0,0,5,460,5,460,-6,-790,-5,-513,25620,3365849,2024,12
其他服務業,72216,6892296,379,42514,219,27816,19,8404,4,788,5,780,6,980,5,363,-7,-758,72373,6914015,2024,12
總計,985066,200845168,4873,774108,3872,649182,347,461892,27,26314,227,67907,228,63261,0,0,1,104,986067,201410422,2024,11
農、林、漁、牧業,11633,3745442,74,12505,34,7509,6,8120,0,0,2,340,2,340,6,-12010,0,0,11679,3746548,2024,11
礦業及土石採取業,1955,1156597,13,2466,3,620,0,0,0,0,0,0,0,0,-1,-10,0,0,1964,1158433,2024,11
製造業,55194,15164941,144,30143,132,27200,23,30960,2,1100,7,6148,6,5948,0,-1370,-1,-200,55206,15196374,2024,11
電力及燃氣供應業,975,526744,8,1250,2,8200,1,1970,0,0,0,0,0,0,0,0,0,0,981,521764,2024,11
用水供應及污染整治業,4018,1830223,21,3884,14,2330,3,4600,0,0,0,0,0,0,2,203,0,0,4027,1836580,2024,11
營建工程業,99012,43756195,656,155085,287,93938,64,110337,4,3000,46,30061,46,28581,-4,-3358,9,668,99386,43923470,2024,11
批發及零售業,515872,84688395,2076,322702,1979,314106,156,189730,9,5135,102,19657,105,16971,-6,3812,-8,-654,515952,84887430,2024,11
運輸及倉儲業,25915,5921640,21,3229,30,2458,2,49055,0,0,1,200,1,200,2,445,-5,-150,25903,5971761,2024,11
住宿及餐飲業,105418,14044309,929,113823,720,98266,37,26072,4,6070,14,1960,15,1970,-4,2405,0,0,105622,14082263,2024,11
出版影音及資通訊業,6840,1838729,32,4196,31,4555,2,1645,0,0,8,2420,8,2420,-1,-100,0,0,6840,1839915,2024,11
金融及保險業,3178,4719040,14,4397,14,1739,0,0,0,0,1,250,1,250,-1,-240,5,150,3182,4721608,2024,11
不動產業,4528,1140248,24,5017,26,4585,2,120,1,150,2,390,1,200,0,0,0,0,4527,1140840,2024,11
專業、科學及技術服務業,20719,4535161,117,19715,76,10261,13,13318,1,10000,14,1820,14,1820,5,736,0,0,20765,4548669,2024,11
支援服務業,29741,7202172,199,30361,125,23808,14,17170,0,0,6,1020,8,1050,-3,9279,0,190,29810,7235334,2024,11
公共行政及國防；強制性社會安全,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,11
教育業,2355,337682,45,5076,6,580,1,450,0,0,4,500,4,500,0,20,0,0,2394,342648,2024,11
醫療保健及社會服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,11
藝術、娛樂及休閒服務業,25643,3366141,129,14015,159,20333,5,4818,1,150,6,1150,6,1150,0,0,0,0,25613,3364491,2024,11
其他服務業,72070,6871510,371,46244,234,28694,18,3527,5,709,14,1991,11,1861,5,188,1,100,72216,6892296,2024,11
總計,983965,200401271,4767,756871,3672,652563,308,357775,13,23027,200,62393,200,61179,0,0,6,3627,985066,200845168,2024,10
農、林、漁、牧業,11612,3730986,69,10570,50,7460,8,7729,1,1900,6,1133,6,988,3,5212,-1,160,11633,3745442,2024,10
礦業及土石採取業,1954,1158147,11,3110,9,6020,2,1600,0,0,0,0,1,240,0,0,0,0,1955,1156597,2024,10
製造業,55209,15157615,124,20488,138,38165,20,24248,0,0,5,1000,4,800,1,698,-3,-143,55194,15164941,2024,10
電力及燃氣供應業,975,526744,4,800,4,800,0,0,0,0,0,0,0,0,0,0,0,0,975,526744,2024,10
用水供應及污染整治業,4014,1828884,13,5700,8,1058,1,197,0,0,1,200,1,200,-1,-3500,0,0,4018,1830223,2024,10
營建工程業,98607,43604850,707,155532,300,103508,77,120677,4,20286,24,11680,23,11460,-5,-2133,2,843,99012,43756195,2024,10
批發及零售業,515646,84522850,2012,310265,1798,300181,135,144801,4,248,108,26114,110,25440,8,7256,6,2979,515872,84688395,2024,10
運輸及倉儲業,25920,5926474,24,3320,26,4474,2,1100,0,0,1,10000,1,10000,0,-4710,-3,-70,25915,5921640,2024,10
住宿及餐飲業,105239,14020384,889,114544,697,97992,20,8963,2,168,17,3783,17,3708,-9,-917,-4,-580,105418,14044309,2024,10
出版影音及資通訊業,6831,1838806,36,5018,29,5145,0,0,0,0,9,1580,8,1570,0,-60,1,100,6840,1838729,2024,10
金融及保險業,3165,4717900,17,3220,6,1760,0,0,1,380,0,0,0,0,0,0,2,60,3178,4719040,2024,10
不動產業,4518,1136460,27,5828,15,4350,1,2800,0,0,1,200,1,200,-2,-490,0,0,4528,1140248,2024,10
專業、科學及技術服務業,20678,4508058,107,19080,70,10354,11,17878,0,0,9,1860,8,1760,2,199,1,200,20719,4535161,2024,10
支援服務業,29677,7182568,184,29192,122,20957,11,11108,0,0,10,3685,11,3655,3,301,0,-70,29741,7202172,2024,10
公共行政及國防；強制性社會安全,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,10
教育業,2342,337292,28,3545,15,1990,2,830,1,45,2,300,2,300,0,-1950,0,0,2355,337682,2024,10
醫療保健及社會服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,10
藝術、娛樂及休閒服務業,25659,3357783,135,20905,144,16258,4,4330,0,0,1,100,1,100,-9,-750,2,130,25643,3366141,2024,10
其他服務業,71919,6845469,380,45755,241,32091,14,11514,0,0,6,758,6,758,9,844,3,18,72070,6871510,2024,10
總計,982769,199916512,4942,780176,3753,635275,295,352215,26,17396,225,87031,225,84237,0,0,7,2246,983965,200401271,2024,9
農、林、漁、牧業,11570,3725571,69,10471,38,10142,4,3019,0,0,3,3745,3,3745,10,1867,1,200,11612,3730986,2024,9
礦業及土石採取業,1950,1154387,7,1840,4,880,1,2600,0,0,0,0,0,0,1,200,0,0,1954,1158147,2024,9
製造業,55219,15126537,142,32791,146,34038,17,28012,2,4980,8,2111,8,2111,-5,9391,-1,-97,55209,15157615,2024,9
電力及燃氣供應業,967,526754,11,2810,3,2820,0,0,0,0,1,1000,1,1000,0,0,0,0,975,526744,2024,9
用水供應及污染整治業,4012,1822616,11,7928,11,3060,1,1000,0,0,1,200,1,200,2,400,0,0,4014,1828884,2024,9
營建工程業,98202,43458539,682,148060,281,88574,57,93062,2,1070,37,18134,36,17814,-3,-6910,6,1423,98607,43604850,2024,9
批發及零售業,515406,84385142,2075,310873,1817,295469,142,134555,16,9713,135,52953,135,52409,-16,-4771,-2,1688,515646,84522850,2024,9
運輸及倉儲業,25908,5877091,30,6738,20,7785,4,49880,0,0,0,0,0,0,3,480,-1,70,25920,5926474,2024,9
住宿及餐飲業,105053,13989628,944,125645,762,99823,27,7646,3,1480,10,1570,13,1970,4,398,3,-1230,105239,14020384,2024,9
出版影音及資通訊業,6827,1837243,34,5475,29,4162,1,450,0,0,2,400,2,400,-2,-230,1,30,6831,1838806,2024,9
金融及保險業,3158,4715486,12,3144,5,560,0,0,0,0,1,240,1,240,-1,-200,1,30,3165,4717900,2024,9
不動產業,4517,1136483,27,4220,26,5543,3,1300,0,0,0,0,0,0,0,0,0,0,4518,1136460,2024,9
專業、科學及技術服務業,20645,4492700,119,17430,93,19933,7,14350,0,0,12,4219,11,1979,4,1237,2,33,20678,4508058,2024,9
支援服務業,29575,7163808,220,31655,116,21793,14,9937,0,0,4,740,4,740,-2,-1209,0,170,29677,7182568,2024,9
公共行政及國防；強制性社會安全,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,9
教育業,2303,332859,53,6113,14,1680,0,0,0,0,1,200,1,200,0,0,0,0,2342,337292,2024,9
醫療保健及社會服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,9
藝術、娛樂及休閒服務業,25679,3353913,126,17715,146,13822,1,340,2,53,4,540,3,450,-1,-499,0,100,25659,3357783,2024,9
其他服務業,71778,6817755,380,47269,242,25191,16,6063,1,100,6,979,6,979,6,-155,-3,-171,71919,6845469,2024,9
總計,981318,199323768,5395,829972,3952,661095,365,437783,21,25439,270,95225,271,88861,0,0,9,5159,982769,199916512,2024,8
農、林、漁、牧業,11535,3711010,67,9433,43,8912,9,7207,0,0,4,5390,3,390,10,1832,0,0,11570,3725571,2024,8
礦業及土石採取業,1947,1153667,7,1240,4,820,1,300,0,0,1,240,1,240,0,0,0,0,1950,1154387,2024,8
製造業,55223,15101063,145,24125,147,43791,18,35873,2,590,13,4249,12,4049,0,10389,-3,-733,55219,15126537,2024,8
電力及燃氣供應業,955,523547,15,2927,4,520,1,600,0,0,0,0,0,0,1,200,0,0,967,526754,2024,8
用水供應及污染整治業,4000,1803210,19,3816,11,2255,10,15205,0,0,5,11305,4,11105,3,2440,0,0,4012,1822616,2024,8
營建工程業,97788,43295338,713,158142,307,102819,71,106029,2,2560,47,18255,48,18020,6,1457,3,2717,98202,43458539,2024,8
批發及零售業,515095,84183644,2354,356395,2021,315099,167,197374,7,12030,135,31725,143,32514,-22,-26479,8,2127,515406,84385142,2024,8
運輸及倉儲業,25904,5873995,21,3589,16,1743,0,0,0,0,1,700,1,700,0,1260,-1,-10,25908,5877091,2024,8
住宿及餐飲業,104750,13930870,989,123736,687,83016,36,17262,1,20,15,3191,15,3169,-2,-172,3,946,105053,13989628,2024,8
出版影音及資通訊業,6803,1826477,44,5532,24,5336,2,950,0,0,10,1740,10,1740,2,9430,2,190,6827,1837243,2024,8
金融及保險業,3147,4711882,19,3241,9,1638,1,1970,0,0,2,300,2,300,1,200,0,-170,3158,4715486,2024,8
不動產業,4502,1132415,49,7564,34,5276,3,1880,0,0,0,0,0,0,0,-100,0,0,4517,1136483,2024,8
專業、科學及技術服務業,20600,4473697,137,22054,96,15750,16,11412,1,89,14,3145,10,1645,0,-253,0,130,20645,4492700,2024,8
支援服務業,29485,7123123,209,36034,122,25357,15,31190,2,230,12,10758,9,10490,0,-1230,0,10,29575,7163808,2024,8
公共行政及國防；強制性社會安全,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-10,1,10,0,0,2024,8
教育業,2267,328163,49,5887,13,1291,0,0,0,0,1,100,1,100,0,100,0,0,2303,332859,2024,8
醫療保健及社會服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,8
藝術、娛樂及休閒服務業,25735,3361682,131,16462,181,19811,6,6277,3,9807,5,3300,7,3550,-3,-690,-1,50,25679,3353913,2024,8
其他服務業,71582,6789984,427,49796,233,27662,9,4254,3,113,5,828,5,850,5,1626,-3,-108,71778,6817755,2024,8
