行業別,上月底現有家數,上月底現有資本額,新設立家數,新設立資本額,歇業家數,歇業資本額,增資家數,增資資本額,減資家數,減資資本額,遷入家數,遷入資本額,遷出家數,遷出資本額,行業變動家數,行業變動資本額,異動調整家數,異動調整資本額,本月底現有家數,本月底現有資本額,year,month
批發及零售業,515380,86663504,1059,159297,1164,180137,85,87268,7,390,62,16306,62,16136,29,5339,2,858,515306,86735910,2026,2
運輸及倉儲業,25853,6022083,18,2710,24,6380,2,3090,0,0,1,200,1,200,2,1510,-3,80,25846,6023093,2026,2
住宿及餐飲業,108597,14690666,494,57902,505,60883,15,9194,2,250,10,1750,10,1750,-12,-3150,2700,424690,111274,15118170,2026,2
出版影音及資通訊業,7109,1866556,41,5229,23,4121,1,100,0,0,5,1100,5,1100,-2,-200,0,0,7125,1867564,2026,2
金融及保險業,3309,4747207,7,2420,9,520,0,0,0,0,0,0,0,0,-2,-400,3,-1380,3308,4747327,2026,2
不動產業,4503,1128507,14,2928,12,1809,0,0,0,0,1,3000,1,3000,3,890,0,0,4508,1130516,2026,2
專業、科學及技術服務業,21355,4662597,100,14629,45,8573,7,6450,0,0,5,730,5,730,1,285,0,0,21411,4675388,2026,2
支援服務業,30670,7549748,92,12814,77,13279,8,11241,0,0,3,5400,3,5400,-12,-3863,-2,-419,30671,7556242,2026,2
公共行政及國防；強制性社會安全,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-370,2,370,0,0,2026,2
教育業,2858,407223,39,5821,9,880,1,400,0,0,2,300,2,300,-2,-400,0,0,2886,412164,2026,2
醫療保健及社會服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026,2
藝術、娛樂及休閒服務業,25626,3432694,82,10939,60,8499,1,177,0,0,1,200,1,200,-6,-1143,-2697,-424237,22945,3009931,2026,2
其他服務業,74724,7302809,225,25406,127,13908,8,3108,2,1200,4,300,4,300,-1,-1367,-3,-430,74818,7314418,2026,2
總計,998057,207004181,4817,785865,4057,705159,385,405867,33,29679,205,76103,203,72748,0,0,8,11281,998827,207475711,2026,1
農、林、漁、牧業,12175,3926616,55,8478,37,4820,9,5869,1,40,3,1600,3,1600,0,-9800,0,0,12193,3926303,2026,1
礦業及土石採取業,2008,1174869,6,1200,6,1618,0,0,0,0,3,600,3,600,2,5248,0,0,2010,1179699,2026,1
製造業,55063,15501510,146,22992,148,32130,20,20982,3,5446,11,7425,11,1445,3,15960,2,227,55066,15530075,2026,1
電力及燃氣供應業,1045,562359,6,4046,3,645,0,0,0,0,0,0,0,0,-1,-11190,0,0,1047,554570,2026,1
用水供應及污染整治業,4061,1974922,17,7865,14,8760,5,9800,0,0,4,10400,5,10403,-1,10790,0,0,4062,1994614,2026,1
營建工程業,104068,45686043,733,163254,339,111601,64,98891,3,2090,47,20247,47,24247,-1,-15348,4,1705,104465,45816854,2026,1
批發及零售業,515579,86488052,1907,321037,2102,318770,192,191219,12,15085,93,27892,94,28119,-7,-6641,4,3920,515380,86663504,2026,1
