station_id,station_name,catchment_method,poi_name,retail_category,amenity,shop,tourism,office,leisure
gongguan,Gongguan,circular_center_500m,博齡牙醫診所,health,dentist,,,,
gongguan,Gongguan,circular_center_500m,三米三現煲石鍋飯,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,蠶居,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,水源會館,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,維倫麵店,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,順園小館,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,壹森泰食堂,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,聖德科斯,other,,greengrocer,,,
gongguan,Gongguan,circular_center_500m,拉芙漢堡,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,翠薪越南餐廳,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,小高拉麵,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,大學麵線 甜不辣 肉圓,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,窖父,food,bar,,,,
gongguan,Gongguan,circular_center_500m,Dr. Poker,other,,games,,,
gongguan,Gongguan,circular_center_500m,海山雞肉飯,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,金石堂書店,lifestyle/design,,books,,,
gongguan,Gongguan,circular_center_500m,主婦聯盟環境保護基金會,services,,,,ngo,
gongguan,Gongguan,circular_center_500m,金吉利寵物精品,other,,pet,,,
gongguan,Gongguan,circular_center_500m,康是美,health,,chemist,,,
gongguan,Gongguan,circular_center_500m,中國信託商業銀行,services,bank,,,,
gongguan,Gongguan,circular_center_500m,夢幻運動廣場公館店,apparel/fashion,,clothes,,,
gongguan,Gongguan,circular_center_500m,美國傳奇牙醫,health,dentist,,,,
gongguan,Gongguan,circular_center_500m,Fjall Raven,apparel/fashion,,clothes,,,
gongguan,Gongguan,circular_center_500m,鳳城燒臘,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,唐緹,other,,confectionery,,,
gongguan,Gongguan,circular_center_500m,OWNDAYS,health,,optician,,,
gongguan,Gongguan,circular_center_500m,美珍香,other,,butcher,,,
gongguan,Gongguan,circular_center_500m,八方雲集,food,fast_food,,,,
gongguan,Gongguan,circular_center_500m,雅博客二手書店,lifestyle/design,,books,,,
gongguan,Gongguan,circular_center_500m,Adidas,other,,sports,,,
gongguan,Gongguan,circular_center_500m,韓庭州韓國料理,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,CoCo壱番屋,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,coco Brownies,other,,confectionery,,,
gongguan,Gongguan,circular_center_500m,辛殿,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,bb.q Chicken,food,restaurant,,,,
